,Date,Local,Visitor,Links,GoalsLocal,GoalsVisitor
146,2018-12-09,Huesca,Real Madrid,https://fbref.com/en/matches/95a61fe9/Huesca-Real-Madrid-December-9-2018-La-Liga,0,1
147,2018-12-09,Real Sociedad,Valladolid,https://fbref.com/en/matches/1296b721/Real-Sociedad-Valladolid-December-9-2018-La-Liga,1,2
148,2018-12-09,Betis,Rayo Vallecano,https://fbref.com/en/matches/c70a311d/Real-Betis-Rayo-Vallecano-December-9-2018-La-Liga,2,0
149,2018-12-10,Athletic Bilbao,Girona,https://fbref.com/en/matches/6f0dadcb/Athletic-Bilbao-Girona-December-10-2018-La-Liga,1,0
150,2018-12-14,Celta Vigo,Leganés,https://fbref.com/en/matches/bcb5b303/Celta-Vigo-Leganes-December-14-2018-La-Liga,0,0
151,2018-12-15,Getafe,Real Sociedad,https://fbref.com/en/matches/7d5b8871/Getafe-Real-Sociedad-December-15-2018-La-Liga,1,0
152,2018-12-15,Valladolid,Atlético Madrid,https://fbref.com/en/matches/a49e191e/Valladolid-Atletico-Madrid-December-15-2018-La-Liga,2,3
153,2018-12-15,Real Madrid,Rayo Vallecano,https://fbref.com/en/matches/cdec1369/Real-Madrid-Rayo-Vallecano-December-15-2018-La-Liga,1,0
154,2018-12-15,Eibar,Valencia,https://fbref.com/en/matches/d5d736ef/Eibar-Valencia-December-15-2018-La-Liga,1,1
155,2018-12-16,Sevilla,Girona,https://fbref.com/en/matches/f2881dc1/Sevilla-Girona-December-16-2018-La-Liga,2,0
156,2018-12-16,Espanyol,Betis,https://fbref.com/en/matches/a5bab21f/Espanyol-Real-Betis-December-16-2018-La-Liga,1,3
157,2018-12-16,Huesca,Villarreal,https://fbref.com/en/matches/ee37e406/Huesca-Villarreal-December-16-2018-La-Liga,2,2
158,2018-12-16,Levante,Barcelona,https://fbref.com/en/matches/190484d3/Levante-Barcelona-December-16-2018-La-Liga,0,5
159,2018-12-17,Alavés,Athletic Bilbao,https://fbref.com/en/matches/e8de71b9/Alaves-Athletic-Bilbao-December-17-2018-La-Liga,0,0
160,2018-12-21,Girona,Getafe,https://fbref.com/en/matches/73cd69c5/Girona-Getafe-December-21-2018-La-Liga,1,1
161,2018-12-21,Real Sociedad,Alavés,https://fbref.com/en/matches/b771e973/Real-Sociedad-Alaves-December-21-2018-La-Liga,0,1
162,2018-12-22,Betis,Eibar,https://fbref.com/en/matches/84f49ee2/Real-Betis-Eibar-December-22-2018-La-Liga,1,1
163,2018-12-22,Atlético Madrid,Espanyol,https://fbref.com/en/matches/3da02e15/Atletico-Madrid-Espanyol-December-22-2018-La-Liga,1,0
164,2018-12-22,Barcelona,Celta Vigo,https://fbref.com/en/matches/7a2c8e2d/Barcelona-Celta-Vigo-December-22-2018-La-Liga,2,0
165,2018-12-22,Athletic Bilbao,Valladolid,https://fbref.com/en/matches/ac666abe/Athletic-Bilbao-Valladolid-December-22-2018-La-Liga,1,1
166,2018-12-23,Valencia,Huesca,https://fbref.com/en/matches/a2401dab/Valencia-Huesca-December-23-2018-La-Liga,2,1
167,2018-12-23,Leganés,Sevilla,https://fbref.com/en/matches/64a0f14b/Leganes-Sevilla-December-23-2018-La-Liga,1,1
168,2018-12-23,Rayo Vallecano,Levante,https://fbref.com/en/matches/1d33d149/Rayo-Vallecano-Levante-December-23-2018-La-Liga,2,1
169,2019-01-03,Villarreal,Real Madrid,https://fbref.com/en/matches/d25c0be5/Villarreal-Real-Madrid-January-3-2019-La-Liga,2,2
170,2019-01-04,Levante,Girona,https://fbref.com/en/matches/64cafd34/Levante-Girona-January-4-2019-La-Liga,2,2
171,2019-01-04,Espanyol,Leganés,https://fbref.com/en/matches/a34afc99/Espanyol-Leganes-January-4-2019-La-Liga,1,0
172,2019-01-05,Valladolid,Rayo Vallecano,https://fbref.com/en/matches/a9b04f70/Valladolid-Rayo-Vallecano-January-5-2019-La-Liga,0,1
173,2019-01-05,Alavés,Valencia,https://fbref.com/en/matches/bec6fd61/Alaves-Valencia-January-5-2019-La-Liga,2,1
174,2019-01-05,Huesca,Betis,https://fbref.com/en/matches/55653337/Huesca-Real-Betis-January-5-2019-La-Liga,2,1
175,2019-01-06,Eibar,Villarreal,https://fbref.com/en/matches/8b9a2374/Eibar-Villarreal-January-6-2019-La-Liga,0,0
176,2019-01-06,Sevilla,Atlético Madrid,https://fbref.com/en/matches/0da03d10/Sevilla-Atletico-Madrid-January-6-2019-La-Liga,1,1
177,2019-01-06,Real Madrid,Real Sociedad,https://fbref.com/en/matches/93caa39b/Real-Madrid-Real-Sociedad-January-6-2019-La-Liga,0,2
178,2019-01-06,Getafe,Barcelona,https://fbref.com/en/matches/91572149/Getafe-Barcelona-January-6-2019-La-Liga,1,2
179,2019-01-07,Celta Vigo,Athletic Bilbao,https://fbref.com/en/matches/94d131d1/Celta-Vigo-Athletic-Bilbao-January-7-2019-La-Liga,1,2
180,2019-01-11,Rayo Vallecano,Celta Vigo,https://fbref.com/en/matches/d1c154c2/Rayo-Vallecano-Celta-Vigo-January-11-2019-La-Liga,4,2
181,2019-01-12,Leganés,Huesca,https://fbref.com/en/matches/c5dcc490/Leganes-Huesca-January-12-2019-La-Liga,1,0
182,2019-01-12,Valencia,Valladolid,https://fbref.com/en/matches/2ad46e96/Valencia-Valladolid-January-12-2019-La-Liga,1,1
183,2019-01-12,Girona,Alavés,https://fbref.com/en/matches/3e59a7f2/Girona-Alaves-January-12-2019-La-Liga,1,1
184,2019-01-12,Villarreal,Getafe,https://fbref.com/en/matches/ee009263/Villarreal-Getafe-January-12-2019-La-Liga,1,2
185,2019-01-13,Atlético Madrid,Levante,https://fbref.com/en/matches/f3ba02c6/Atletico-Madrid-Levante-January-13-2019-La-Liga,1,0
